X,Y,GU_NM,THT_HG,BHT_DM,WTRTB_BT,WDPT_NM,CREAT_DE
127.011864449,37.554485298,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
127.011727801,37.554498073,중구,7.00000000,14.00000000,3.00000000,왕벚나무,
126.995837639,37.557499538,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.995954711,37.557287291,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.99561898,37.556764721,중구,4.00000000,12.00000000,6.00000000,왕벚나무,
126.995735807,37.556714755,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.995666879,37.555744074,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995646083,37.55580433,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
127.011822959,37.554417408,중구,7.00000000,15.00000000,6.00000000,왕벚나무,
126.995757047,37.555903051,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.995518642,37.556157489,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.997473273,37.560705155,중구,5.00000000,12.00000000,4.00000000,왕벚나무,
126.996169556,37.558385412,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.995894476,37.557129215,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.997937425,37.561106989,중구,4.00000000,13.00000000,3.00000000,왕벚나무,
127.011778563,37.554326403,중구,6.00000000,10.00000000,3.00000000,왕벚나무,
126.99609948,37.559674242,중구,4.00000000,12.00000000,7.00000000,왕벚나무,
126.99577893,37.555496006,중구,7.00000000,12.00000000,6.00000000,왕벚나무,
126.995678023,37.556920548,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.99845285,37.561923252,중구,5.00000000,12.00000000,4.00000000,왕벚나무,
127.011613231,37.554304081,중구,5.00000000,13.00000000,4.00000000,왕벚나무,
126.996071249,37.558784329,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.997597531,37.560810971,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
127.011732267,37.554253627,중구,5.00000000,11.00000000,3.00000000,왕벚나무,
127.011822982,37.554645492,중구,8.00000000,12.00000000,3.00000000,왕벚나무,
126.99585499,37.557669995,중구,4.00000000,12.00000000,5.00000000,왕벚나무,
127.011625897,37.554069332,중구,6.00000000,12.00000000,4.00000000,왕벚나무,
127.011852281,37.554703684,중구,5.00000000,11.00000000,3.00000000,왕벚나무,
127.011657121,37.554383642,중구,6.00000000,11.00000000,3.00000000,왕벚나무,
126.996107189,37.561259558,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.998360673,37.561499126,중구,5.00000000,13.00000000,3.00000000,왕벚나무,
127.01163763,37.554342905,중구,6.00000000,12.00000000,3.00000000,왕벚나무,
126.997810433,37.560878741,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.995672955,37.556341194,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.996185745,37.56004889,중구,6.00000000,13.00000000,5.00000000,왕벚나무,
126.996267946,37.5593071,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995509623,37.556262787,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995584367,37.556626159,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.997102245,37.560386344,중구,4.00000000,13.00000000,4.00000000,왕벚나무,
126.998631342,37.562121498,중구,27.00000000,12.00000000,14.00000000,왕벚나무,
126.997419891,37.56052321,중구,5.00000000,13.00000000,4.00000000,왕벚나무,
126.995657933,37.556850926,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996087443,37.558926074,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996080508,37.558857962,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996109734,37.56142052,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.998327827,37.561412452,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.99549504,37.556473091,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.995908727,37.557828366,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995826762,37.556967348,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
127.011708277,37.554467037,중구,6.00000000,14.00000000,5.00000000,왕벚나무,
126.995608653,37.555874712,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.995876758,37.557089696,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995936618,37.557950667,중구,6.00000000,1.00000000,5.00000000,왕벚나무,
126.995787709,37.555676486,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995711748,37.555532166,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995746473,37.55712024,중구,6.00000000,12.00000000,7.00000000,왕벚나무,
126.995735734,37.556010321,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.998114989,37.561115392,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.996268587,37.55905779,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.998268848,37.56154107,중구,5.00000000,10.00000000,3.00000000,왕벚나무,
126.996230301,37.558654717,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
127.011976482,37.554674532,중구,7.00000000,13.00000000,4.00000000,왕벚나무,
126.995995855,37.56143601,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.995988971,37.557403027,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.996240985,37.55872248,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.997389845,37.560634612,중구,4.00000000,12.00000000,4.00000000,왕벚나무,
126.995718568,37.557053794,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.997750058,37.560805384,중구,4.00000000,11.00000000,3.00000000,왕벚나무,
126.998264156,37.561322053,중구,3.00000000,12.00000000,3.00000000,왕벚나무,
126.998229255,37.561475914,중구,4.00000000,17.00000000,4.00000000,왕벚나무,
126.995775184,37.557180114,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996125026,37.558106884,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.995504867,37.556419456,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.997670314,37.56087728,중구,4.00000000,12.00000000,4.00000000,왕벚나무,
126.998147934,37.561365669,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.99602045,37.55747545,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996152148,37.558197765,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.998578478,37.561937497,중구,5.00000000,12.00000000,4.00000000,왕벚나무,
126.995784975,37.555726894,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.995539433,37.555988235,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.997750188,37.560940771,중구,5.00000000,12.00000000,4.00000000,왕벚나무,
126.995499705,37.556324206,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996977937,37.560274951,중구,4.00000000,12.00000000,3.00000000,왕벚나무,
126.995690385,37.556164632,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996049174,37.557658624,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.995757864,37.556784111,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996284983,37.559466341,중구,6.00000000,12.00000000,6.00000000,왕벚나무,
126.996166369,37.55831993,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.99619258,37.559961081,중구,5.00000000,16.00000000,6.00000000,왕벚나무,
126.99606647,37.557802854,중구,6.00000000,12.00000000,5.00000000,왕벚나무,
126.997535399,37.560754537,중구,4.00000000,12.00000000,4.00000000,왕벚나무,
126.995548938,37.556527361,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996039334,37.557591206,중구,3.00000000,12.00000000,4.00000000,왕벚나무,
126.995933451,37.557230835,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
126.996149973,37.560719221,중구,5.00000000,15.00000000,7.00000000,왕벚나무,
126.996182809,37.560194386,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.99617905,37.560329159,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996177321,37.560393279,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996155377,37.560502982,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996148461,37.560574337,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.99615318,37.560632993,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996023492,37.560856064,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
