fid,tht_hg,bht_dm,wtrtb_bt,wdpt_nm,wdpt_cd,lng,lat
"1",5,15,4,느티나무,ZS,127.047322938,37.469035243
"2",11,27,6,양버즘나무,PTA,126.989927687,37.49385943
"3",11,25,10,양버즘나무,PTA,126.985955839,37.5039043
"4",7,28,5,양버즘나무,PTA,127.0126627,37.487870573
"5",10,32,8,칠엽수,AC,127.011875105,37.501014253
"6",7,27,8,양버즘나무,PTA,127.036547749,37.468577728
"7",11,26,7,양버즘나무,PTA,127.015161715,37.519235462
"8",12,41,11,양버즘나무,PTA,126.996839691,37.488609904
"9",8,17,6,양버즘나무,PTA,127.037593634,37.469357703
"10",12,43,6,양버즘나무,PTA,126.992158311,37.502300155
"11",13,45,7,양버즘나무,PTA,127.007275904,37.49309232
"12",7,24,6,양버즘나무,PTA,127.030389742,37.489071424
"13",14,32,7,양버즘나무,PTA,127.038662577,37.479496119
"14",12,35,8,양버즘나무,PTA,126.982581118,37.488726291
"15",13,26,3,양버즘나무,PTA,127.037107963,37.481894302
"16",6,20,4,메타세쿼이아,TB,127.025136441,37.464404711
"17",8,18,5,양버즘나무,PTA,127.021517402,37.502463507
"18",10,23,5,양버즘나무,PTA,126.987395455,37.490009141
"19",9,16,4,메타세쿼이아,TB,127.02010138,37.510627711
"20",11,36,8,양버즘나무,PTA,127.005300076,37.483001243
"21",0,17,5,느티나무,ZS,127.038896711,37.478546657
"22",0,9,0,느티나무,ZS,127.008602894,37.47858326
"23",5,17,3,느티나무,ZS,127.047019996,37.468839847
"24",8,29,7,양버즘나무,PTA,126.991480194,37.483472489
"25",12,24,10,양버즘나무,PTA,127.038370979,37.478256676
"26",7,20,5,은행나무,GB,127.047356723,37.473134556
"27",12,46,8,메타세쿼이아,TB,127.040980815,37.474765816
"28",0,9,0,느티나무,ZS,127.022271993,37.482770421
"29",11,23,6,양버즘나무,PTA,126.988984097,37.492208047
"30",6,20,7,회화나무,STJ,127.011142541,37.485128467
"31",3,10,4,단풍나무,MP,127.010892653,37.493291752
"32",6,20,6,은행나무,GB,127.050475553,37.454842012
"33",7,10,2,은행나무,GB,126.99711145,37.503925848
"34",13,29,6,양버즘나무,PTA,127.037366643,37.481562598
"35",3,10,2,꽃사과,PRS,126.985206738,37.485651485
"36",10,25,4,양버즘나무,PTA,127.039855932,37.478462568
"37",6,27,5,메타세쿼이아,TB,127.025738398,37.465164692
"38",9,24,7,은행나무,GB,127.010998801,37.509693328
"39",12,34,6,양버즘나무,PTA,126.983085321,37.496299709
"40",9,25,5,양버즘나무,PTA,127.027170979,37.490585805
"41",8,21,8,양버즘나무,PTA,127.024981422,37.497149829
"42",6,25,8,느티나무,ZS,127.003927477,37.49170555
"43",12,34,8,양버즘나무,PTA,127.008223682,37.491145379
"44",9,30,5,양버즘나무,PTA,127.026427704,37.491887321
"45",12,26,5,양버즘나무,PTA,127.004952365,37.490286406
"46",11,28,6,양버즘나무,PTA,127.01709991,37.500945338
"47",12,25,7,양버즘나무,PTA,126.99810427,37.489112614
"48",8,19,5,양버즘나무,PTA,127.026747651,37.491485048
"49",0,9,0,느티나무,ZS,127.038369262,37.485009092
"50",10,25,4,은행나무,GB,127.01503624,37.518464332
"51",12,36,10,양버즘나무,PTA,126.999753702,37.507405481
"52",14,32,6,양버즘나무,PTA,127.018316489,37.494990481
"53",13,24,3,양버즘나무,PTA,127.037581565,37.481343025
"54",6,31,8,느티나무,ZS,127.011711544,37.457189313
"55",5,10,2,메타세쿼이아,TB,126.988899034,37.474876961
"56",12,28,6,양버즘나무,PTA,127.023742404,37.49687587
"57",1,33,8,양버즘나무,PTA,127.036116862,37.477648128
"58",10,29,8,양버즘나무,PTA,127.037778084,37.47775681
"59",13,41,8,느티나무,ZS,127.029613257,37.484083453
"60",10,15,2,은행나무,GB,127.020741975,37.486117856
"61",9,18,4,양버즘나무,PTA,126.991490104,37.483638828
"62",7,16,3,메타세쿼이아,TB,127.028827645,37.468601527
"63",7,16,5,은행나무,GB,127.045441877,37.476716834
"64",8,15,3,은행나무,GB,127.011858519,37.513176501
"65",11,21,8,양버즘나무,PTA,126.993136893,37.488725814
"66",8,14,3,은행나무,GB,127.02575374,37.494039043
"67",6,20,7,회화나무,STJ,127.011371331,37.484652166
"68",10,26,4,양버즘나무,PTA,126.987198151,37.490675511
"69",12,29,10,양버즘나무,PTA,127.038366443,37.478334568
"70",6,16,3,은행나무,GB,126.988454857,37.464415658
"71",7,10,2,은행나무,GB,127.037562596,37.459635776
"72",7,26,6,양버즘나무,PTA,127.032340121,37.470236304
"73",13,36,10,가중나무,AA,127.005346727,37.511986087
